Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~0419.PrjPcb|ReportField=ProjectFullPath~D:\0415\0415\0419\0419.PrjPcb|ReportField=Title~Bill of Materials For Project [0419.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~261|ReportField=ReportTime~16:48:40|ReportField=ReportDate~2018/4/20|ReportField=ReportDateTime~2018/4/20 16:48:40|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~L3, 12a Rodborough Rd|ReportField=Address2~Frenchs Forest|ReportField=Address3~NSW|ReportField=Address4~Australia 2086|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018/4/20|ReportField=CurrentTime~16:48:33|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\0415\0415\0419\407VS429.SchDoc|ReportField=DocumentName~407VS429.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018/4/20|ReportField=Organization~Protel International P/L|ReportField=ProjectName~0419.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~0419.PrjPcb|ReportField=DataSourceFullPath~D:\0415\0415\0419\0419.PrjPcb
0.33UF|Capacitor|C1|0603T|Cap|1
55PF|Capacitor|C01|0603T|Cap|1
104|Capacitor, Capacitor, Capacitor, Capacitor, Capacitor, Capacitor, Capacitor, 电容, 电容, Capacitor, Capacitor, 电容, 电容, Capacitor, Capacitor, Capacitor, Capacitor, Capacitor, Capacitor, Capacitor, 电容, 电容, 电容, 电容, 电容, 电容, Capacitor, Capacitor, 电容, 电容, 电容, 电容, 电容, 电容, 电容, 电容, 电容, Capacitor, Capacitor, Capacitor, Capacitor, Capacitor, 电容, 电容, Capacitor|C2, C4, C10, C11, C12, C13, C18, C19, C21, C24, C25, C27, C28, C34, C35, C36, C37, C38, C39, C40, C42, C43, C44, C45, C46, C47, C48, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C65, C67, C68, C69, C92, C110, C117, C118|0603T|Cap, Cap, Cap, Cap, Cap, Cap, Cap, C, C, Cap, Cap, C, C, Cap, Cap, Cap, Cap, Cap, Cap, Cap, C, C, C, C, C, C, Cap, Cap, C, C, C, C, C, C, C, C, C, Cap, Cap, Cap, Cap, Cap, C, C, Cap|45
27PF|Capacitor|C3, C?|0603T|Cap|2
20PF|Capacitor|C5|0603T|Cap|1
22UF/63V|Capacitor|C6, C16|CAP-SIP|Cap|2
2K|Resistor|C7|0603T|Res2|1
180NF|Capacitor|C8|0603T|Cap|1
104NC|Capacitor|C9|0603T|Cap|1
1NF|Capacitor|C14|1206|Cap|1
100UF/16V|Capacitor|C15|CAP-SIP|Cap|1
105|Capacitor|C17, C73, C74, C84, C85, C86, C88|0603T|Cap|7
225|电容|C20, C22, C23|0603T|C|3
10uF|电容, Capacitor|C26, C99|0603T|C, Cap|2
