Change Component Comment: Designator=R3 Old Comment=26.7K精密电阻42C New Comment=26.7K
Change Component Comment: Designator=R7 Old Comment=53.6K精密电阻71C New Comment=53.6K
Change Component Comment: Designator=R9 Old Comment=63.4K精密电阻 New Comment=63.4K
Change Component Comment: Designator=C78 Old Comment==Value New Comment=104
Change Component Comment: Designator=C82 Old Comment==Value New Comment=104
Change Component Comment: Designator=C96 Old Comment==Value New Comment=104
Change Component Comment: Designator=C97 Old Comment==Value New Comment=104
Change Component Comment: Designator=C100 Old Comment==Value New Comment=104
Change Component Comment: Designator=C102 Old Comment=100nF New Comment=104
Change Component Comment: Designator=U2 Old Comment=MP1584EN顺序 New Comment=MP1584EN
Change Component Comment: Designator=R46 Old Comment=Res2 New Comment=1K
Change Component Comment: Designator=R68 Old Comment=Res2 New Comment=1M
Change Component Comment: Designator=R69 Old Comment=Res2 New Comment=4.7K
Change Component Comment: Designator=R28 Old Comment=Res2 New Comment=5.6K
Change Component Comment: Designator=R6 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R16 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R18 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R19 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R20 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R22 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R26 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R37 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R39 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R49 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R59 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R60 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R70 Old Comment=Res2 New Comment=10K
Change Component Comment: Designator=R40 Old Comment=Res2 New Comment=10R
Change Component Comment: Designator=R51 Old Comment=Res2 New Comment=10R
Change Component Comment: Designator=R55 Old Comment=Res2 New Comment=49.9R
Change Component Comment: Designator=R57 Old Comment=Res2 New Comment=49.9R
Change Component Comment: Designator=R75 Old Comment=Res2 New Comment=100K
Change Component Comment: Designator=R74 Old Comment=Res2 New Comment=732K
Change Component Comment: Designator=R17 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R21 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R24 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R25 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R27 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R29 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R35 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R36 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R48 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R50 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R52 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R56 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R58 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R63 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R64 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=R71 Old Comment=Res2 New Comment=Res
Change Component Comment: Designator=Q4 Old Comment=SI2301PMOS New Comment=SI2301
Change Component Designator: OldDesignator=SWD1 NewDesignator=BTSWD
Change Component Designator: OldDesignator=UART1 NewDesignator=BTU
